levenshtein_norm,jaro_winkler,token_sort_ratio,ngram_bigram,ngram_trigram,soundex_match,metaphone_match,prefix5_match,length_ratio,label
0.11764705882352944,0.3857142857142858,0.19512195121951215,0.03125,0.0,0.0,0.0,0.0,0.20588235294117646,0
0.1428571428571429,0.16666666666666663,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0
0.2222222222222222,0.36,0.2666666666666667,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1
0.125,0.30000000000000004,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.625,0
0.1428571428571429,0.2857142857142857,0.2857142857142857,0.09090909090909091,0.0,0.0,0.0,0.0,1.0,0
0.0,0.19999999999999996,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,1.0,0
0.2666666666666667,0.45,0.43478260869565216,0.10526315789473684,0.05555555555555555,0.0,0.0,0.0,0.5333333333333333,0
0.7272727272727273,0.95,0.8421052631578947,0.7,0.6666666666666666,1.0,0.0,1.0,0.7272727272727273,1
0.7,0.736842105263158,0.736842105263158,0.3076923076923077,0.15384615384615385,1.0,0.0,0.0,0.9,1
0.6,0.631578947368421,0.631578947368421,0.21428571428571427,0.07142857142857142,0.0,0.0,0.0,0.9,1
0.07692307692307687,0.36,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0
0.15384615384615385,0.45,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0
0.23076923076923073,0.5538461538461539,0.4,0.125,0.06666666666666667,0.0,0.0,0.0,0.5384615384615384,0
0.19999999999999996,0.4275,0.375,0.07692307692307693,0.0,0.0,0.0,0.0,0.6,0
0.0,0.2571428571428571,0.11764705882352944,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0
0.19999999999999996,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.6,0
0.16666666666666663,0.2857142857142857,0.2857142857142857,0.058823529411764705,0.0,0.0,0.0,0.0,0.75,0
0.125,0.2666666666666667,0.2666666666666667,0.0,0.0,0.0,0.0,0.0,0.875,0
0.19999999999999996,0.30000000000000004,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,1.0,0
0.7857142857142857,0.7857142857142857,0.7857142857142857,0.3684210526315789,0.3333333333333333,1.0,0.0,1.0,1.0,1
0.16666666666666663,0.3857142857142858,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0
0.25,0.2666666666666667,0.2666666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.875,0
0.09090909090909094,0.21052631578947367,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0
0.7692307692307692,0.8695652173913043,0.8695652173913043,0.6153846153846154,0.46153846153846156,1.0,0.0,1.0,0.7692307692307693,1
0.19999999999999996,0.3157894736842105,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.9,0
0.30000000000000004,0.4705882352941176,0.4705882352941176,0.07142857142857142,0.0,0.0,0.0,0.0,0.7,0
0.125,0.36,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.4375,0
0.09090909090909094,0.30000000000000004,0.25,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0
0.09999999999999998,0.2222222222222222,0.2222222222222222,0.06666666666666667,0.0,0.0,0.0,0.0,0.8,0
0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0
0.33333333333333337,0.38095238095238093,0.38095238095238093,0.05555555555555555,0.0,0.0,0.0,0.0,0.75,0
0.16666666666666663,0.36363636363636365,0.36363636363636365,0.17647058823529413,0.058823529411764705,0.0,0.0,0.0,0.8333333333333334,0
0.19999999999999996,0.4,0.4,0.125,0.0,0.0,0.0,0.0,1.0,0
0.5,0.5,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,1
0.16666666666666663,0.36363636363636365,0.36363636363636365,0.05263157894736842,0.0,0.0,0.0,0.0,0.8333333333333334,0
0.1333333333333333,0.3857142857142858,0.2162162162162162,0.030303030303030304,0.0,0.0,0.0,0.0,0.23333333333333334,0
0.0625,0.1838709677419355,0.19354838709677424,0.0,0.0,0.0,0.0,0.0,0.9375,0
0.19999999999999996,0.3529411764705882,0.3529411764705882,0.07692307692307693,0.0,0.0,0.0,0.0,0.7,0
0.09090909090909094,0.34545454545454546,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,1.0,0
0.36363636363636365,0.4,0.4,0.125,0.0,0.0,0.0,0.0,0.8181818181818182,0
0.09999999999999998,0.23529411764705888,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,0.7,0
0.09090909090909094,0.45,0.33333333333333337,0.06666666666666667,0.0,0.0,0.0,0.0,0.6363636363636364,0
0.16666666666666663,0.38095238095238093,0.38095238095238093,0.05555555555555555,0.0,0.0,0.0,0.0,0.75,0
0.11111111111111116,0.3529411764705882,0.3529411764705882,0.07142857142857142,0.0,0.0,0.0,0.0,0.8888888888888888,0
0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0
0.4,0.4705882352941176,0.4705882352941176,0.0,0.0,0.0,0.0,0.0,0.7,1
0.2142857142857143,0.45,0.30000000000000004,0.125,0.06666666666666667,0.0,0.0,0.0,0.42857142857142855,0
0.17647058823529416,0.45,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0
0.8709677419354839,0.9,0.6666666666666667,0.7142857142857143,0.696969696969697,1.0,0.0,1.0,0.9354838709677419,1
0.5714285714285714,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.25,0.0,0.0,0.0,1.0,1
0.8421052631578947,0.95,0.9142857142857143,0.8333333333333334,0.8235294117647058,1.0,0.0,1.0,0.8421052631578947,1
0.18181818181818177,0.4,0.33333333333333337,0.07142857142857142,0.0,0.0,0.0,0.0,0.6363636363636364,0
0.1428571428571429,0.31999999999999995,0.31999999999999995,0.05,0.0,0.0,0.0,0.0,0.7857142857142857,0
0.5,0.5,0.5,0.2857142857142857,0.06666666666666667,0.0,0.0,0.0,1.0,1
0.0,0.2666666666666667,0.2666666666666667,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.2571428571428571,0.11111111111111116,0.0,0.0,0.0,0.0,0.0,0.5,0
0.1875,0.4275,0.26086956521739135,0.05,0.0,0.0,0.0,0.0,0.4375,0
0.2857142857142857,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0
0.5714285714285714,0.7692307692307692,0.7692307692307692,0.2222222222222222,0.125,0.0,0.0,0.0,0.8571428571428571,1
0.19999999999999996,0.54,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0
0.15384615384615385,0.5142857142857142,0.24242424242424243,0.07407407407407407,0.0,0.0,0.0,0.0,0.2692307692307692,0
0.1428571428571429,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0
0.08333333333333337,0.1636363636363636,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0
0.07692307692307687,0.2571428571428571,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0
0.625,0.7142857142857143,0.7142857142857143,0.5,0.25,0.0,0.0,0.0,0.75,1
0.6,0.6666666666666667,0.6666666666666667,0.14285714285714285,0.0,0.0,0.0,0.0,0.8,1
0.5384615384615384,0.5833333333333333,0.5833333333333333,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,0.8461538461538461,1
0.5,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.8,1
0.0,0.16666666666666663,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0
0.2222222222222222,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0
0.1428571428571429,0.304,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0
0.19999999999999996,0.2142857142857143,0.2142857142857143,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0
0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0
0.375,0.375,0.375,0.16666666666666666,0.09090909090909091,0.0,0.0,0.0,1.0,1
